id,nombre científico,nombre común,rango,zonas USDA
"juniperus_communis","Juniperus communis","Enebro común","-45.6°C a -42.8°C","2a, 2b, 3a, 3b, 4a, 4b, 5a, 5b, 6a, 6b, 7a, 7b, 8a, 8b, 9a, 9b, 10a, 10b"
"juniperus_sp","Juniperus sp.","Enebro, Junípero","-40°C a -37.2°C","3a, 3b, 4a, 4b, 5a, 5b, 6a, 6b, 7a, 7b, 8a, 8b, 9a, 9b, 10a, 10b"
"juniperus_virginiana","Juniperus virginiana","Enebro de Virginia, Cedro rojo","-40°C a -37.2°C","3a, 3b, 4a, 4b, 5a, 5b, 6a, 6b, 7a, 7b, 8a, 8b, 9a, 9b, 10a, 10b"
"juniperus_virginiana_var_silicicola","Juniperus virginiana var. silicicola","Enebro de las costas","-17.8°C a -15°C","7a, 7b, 8a, 8b, 9a, 9b, 10a, 10b"
"khaya_senegalensis","Khaya senegalensis","Caoba de Senegal","-1.1°C a 1.7°C","10a, 10b"
"lagerstroemia_indica","Lagerstroemia indica","Crespón, Júpiter","-23.3°C a -20.6°C","6a, 6b, 7a, 7b, 8a, 8b, 9a, 9b, 10a, 10b"
"lagunaria_patersonii","Lagunaria patersonii","Pica, pica, Árbol pica, pica","-6.7°C a -3.9°C","9a, 9b, 10a, 10b"
"laurus_nobilis","Laurus nobilis","Laurel común, Laurel de cocina","-12.2°C a -9.4°C","8a, 8b, 9a, 9b, 10a, 10b"
"laurus_sp","Laurus sp.","Laurel","-12.2°C a -9.4°C","8a, 8b, 9a, 9b, 10a, 10b"
"leucaena_leucocephala","Leucaena leucocephala","Leucaena, Peladera","-3.9°C a -1.1°C","9b, 10a, 10b"
"libocedrus_sp","Libocedrus sp.","Calocedro","-28.9°C a -26.1°C","5a, 5b, 6a, 6b, 7a, 7b, 8a, 8b, 9a, 9b, 10a, 10b"
"libocedrus_decurrens","Libocedrus decurrens","Calocedro, Cedro de incienso","-28.9°C a -26.1°C","5a, 5b, 6a, 6b, 7a, 7b, 8a, 8b, 9a, 9b, 10a, 10b"
"libocedrus_decurrens_f_aureovariegata","Libocedrus decurrens f. aureo-variegata","Calocedro dorado","-28.9°C a -26.1°C","5a, 5b, 6a, 6b, 7a, 7b, 8a, 8b, 9a, 9b, 10a, 10b"
"ligustrum_lucidum","Ligustrum lucidum","Ligustro, Cerco de ligustro","-17.8°C a -15°C","7a, 7b, 8a, 8b, 9a, 9b, 10a, 10b"
"ligustrum_lucidum_var_aureovariegatum","Ligustrum lucidum var. aureovariegatum","Ligustro disciplinado","-17.8°C a -15°C","7a, 7b, 8a, 8b, 9a, 9b, 10a, 10b"
"ligustrum_ovalifolium","Ligustrum ovalifolium","Ligustrina","-28.9°C a -26.1°C","5a, 5b, 6a, 6b, 7a, 7b, 8a, 8b, 9a, 9b, 10a, 10b"
